,Id,name,serving_size,calories,total_fat,saturated_fat,cholesterol,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,water
3407,3407,"Restaurant, spaghetti with meat sauce, Italian",100 g,121,3.6g,1.1g,9mg,5.79 g,0.247 g,0.275 g,0.439 g,0.093 g,1.559 g,0.230 g,0.142 g,0.000 g,0.197 g,0.373 g,0.231 g,0.109 g,0.263 g,0.507 g,0.240 g,0.192 g,0.054 g,0.137 g,0.224 g,16.40 g,1.6 g,1.82 g,0.95 g,0.00 g,0.87 g,0.00 g,0.00 g,0.00 g,3.59 g,1.062 g,1.486 g,0.512 g,9.00 mg,73.16 g
3788,3788,"Dip, cheese and salsa- medium, salsa con queso",100 g,143,9.5g,2.5g,9mg,3.14 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.14 g,0.7 g,1.95 g,0.21 g,0.00 g,0.26 g,1.45 g,0.03 g,0.00 g,9.51 g,2.491 g,2.762 g,3.643 g,9.00 mg,73.72 g
3260,3260,"Candies, MILKY WAY Bar, MARS SNACKFOOD US",100 g,456,17g,12g,9mg,4.01 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.17 g,1.0 g,59.69 g,0,0,0,0,0,0,17.23 g,12.016 g,2.230 g,0.260 g,9.00 mg,6.30 g
4700,4700,"Babyfood, prepared with whole milk, mixed, cereal",100 g,96,3.4g,1.7g,9mg,4.14 g,0.153 g,0.142 g,0.286 g,0.052 g,1.099 g,0.126 g,0.097 g,0,0.244 g,0.440 g,0.166 g,0.091 g,0.202 g,0.412 g,0.155 g,0.190 g,0.064 g,0.186 g,0.239 g,12.30 g,0.8 g,4.78 g,0.00 g,0.00 g,0.00 g,4.50 g,0.00 g,0.00 g,3.38 g,1.745 g,0.855 g,0.359 g,9.00 mg,79.21 g
2954,2954,KRAFT BREAKSTONE'S FREE Fat Free Sour Cream,100 g,91,1.3g,0.8g,9mg,4.70 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.10 g,0.0 g,7.20 g,0,0,0,0,0,0,1.30 g,0.800 g,0,0,9.00 mg,77.70 g
2800,2800,"Rice mix, unprepared, dry mix, cheese flavor",100 g,362,3.5g,1.8g,9mg,8.77 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.88 g,1.8 g,5.26 g,0,0,0,0,0,0,3.51 g,1.754 g,0.750 g,0.667 g,9.00 mg,8.74 g
5816,5816,"Puddings, prepared with whole milk, regular, dry mix, vanilla",100 g,113,2.9g,1.6g,9mg,2.80 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.92 g,0.1 g,17.09 g,0,0,0,0,0,0,2.90 g,1.643 g,0.714 g,0.197 g,9.00 mg,74.49 g
4429,4429,"KEEBLER, Chocolate Malt Chunk Cookies, CHIPS DELUXE",100 g,537,30g,14g,9mg,4.70 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.80 g,1.7 g,31.60 g,0,0,0,0,0,0,30.40 g,13.800 g,5.900 g,8.200 g,9.00 mg,2.70 g
3196,3196,"GARDENBURGER Original, unprepared, frozen",100 g,155,4.6g,2.4g,9mg,7.20 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.10 g,5.0 g,0.60 g,0,0,0,0,0,0,4.60 g,2.400 g,0.500 g,0.600 g,9.00 mg,61.90 g
3949,3949,"Candies, SNICKERS CRUNCHER, MARS SNACKFOOD US",100 g,488,24g,13g,9mg,6.86 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.85 g,1.9 g,46.54 g,0,0,0,0,0,0,24.38 g,12.703 g,0,0,9.00 mg,4.47 g
