,Id,name,serving_size,calories,total_fat,saturated_fat,cholesterol,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,water
1930,1930,"Snacks, cheese-flavor, popcorn",100 g,526,33g,6.4g,11mg,9.30 g,0.580 g,0.391 g,0.718 g,0.160 g,1.729 g,0.308 g,0.252 g,0,0.402 g,1.024 g,0.443 g,0.191 g,0.405 g,0.743 g,0.446 g,0.417 g,0.094 g,0.349 g,0.489 g,51.60 g,9.9 g,0.79 g,0,0,0,0,0,0,33.20 g,6.410 g,9.700 g,15.370 g,11.00 mg,2.50 g
2467,2467,"Bananas, or banana powder, dehydrated",100 g,346,1.8g,0.7g,0,3.89 g,0.222 g,0.176 g,0.503 g,0.063 g,0.399 g,0.190 g,0.333 g,0,0.167 g,0.359 g,0.162 g,0.074 g,0.201 g,0.229 g,0.226 g,0.171 g,0,0.121 g,0.282 g,88.28 g,9.9 g,47.30 g,0,0,0,0,0,0,1.81 g,0.698 g,0.153 g,0.337 g,0.00 mg,3.00 g
1257,1257,"Nuts, blanched, almonds",100 g,590,53g,4g,0,21.40 g,1.007 g,2.483 g,2.751 g,0.284 g,5.206 g,1.478 g,0.596 g,0,0.696 g,1.479 g,0.605 g,0.190 g,1.156 g,0.975 g,1.012 g,0.682 g,0.193 g,0.533 g,0.805 g,18.67 g,9.9 g,4.63 g,0.00 g,0.00 g,0.03 g,0.00 g,0.14 g,4.46 g,52.52 g,3.953 g,33.415 g,12.368 g,0.00 mg,4.51 g
186,186,"Grape leaves, canned",100 g,69,2g,0.3g,0,4.27 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.71 g,9.9 g,0,0,0,0,0,0,0,1.97 g,0.312 g,0.076 g,0.989 g,0.00 mg,76.10 g
3556,3556,"Cereals, dry, Whole Wheat Natural Cereal, QUAKER",100 g,333,2g,0.4g,0,11.80 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.80 g,9.9 g,2.00 g,0,0,0,0,0,0,2.00 g,0.419 g,0.309 g,1.176 g,0.00 mg,9.80 g
5274,5274,"Cereals ready-to-eat, KELLOGG'S KRAVE chocolate cereal",100 g,397,11g,2.5g,1mg,7.00 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.10 g,9.9 g,35.70 g,0,0,0,0,0,0,11.10 g,2.500 g,2.800 g,5.200 g,1.00 mg,3.50 g
6402,6402,"Cereals ready-to-eat, Natural Granola Apple Cranberry Almond, QUAKER",100 g,418,11g,1.1g,2mg,9.21 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.73 g,9.9 g,27.43 g,0,0,0,0,0,0,11.06 g,1.130 g,6.390 g,3.000 g,2.00 mg,3.21 g
4161,4161,"Incaparina, unprepared, dry mix (corn and soy flours)",100 g,379,5.6g,0g,0,21.75 g,1.320 g,1.745 g,2.585 g,0.145 g,4.785 g,1.070 g,0.675 g,0.000 g,0.945 g,2.410 g,1.465 g,0.440 g,1.300 g,1.045 g,1.380 g,0.715 g,0.260 g,0.740 g,1.150 g,60.53 g,9.9 g,0,0,0,0,0,0,0,5.58 g,0,0,0,0,7.47 g
6490,6490,"Nuts, packaged, flaked, sweetened, dried (desiccated), coconut meat",100 g,456,28g,26g,0,3.13 g,0.168 g,0.536 g,0.339 g,0.030 g,0.775 g,0.158 g,0.074 g,0.000 g,0.067 g,0.188 g,0.146 g,0.060 g,0.131 g,0.164 g,0.218 g,0.084 g,0.020 g,0.057 g,0.120 g,51.85 g,9.9 g,36.75 g,0.01 g,0.00 g,0.53 g,0.00 g,0.00 g,36.21 g,27.99 g,26.396 g,1.377 g,0.222 g,0.00 mg,15.46 g
5186,5186,"KELLOGG'S, Sour Cream & Onion, Cracker Chips, SPECIAL K",100 g,365,8g,2.2g,2mg,7.10 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.30 g,9.8 g,3.50 g,0,0,0,0,0,0,8.00 g,2.200 g,2.000 g,3.700 g,2.00 mg,2.80 g
