,ID,Name,Serving_size-(g),Calories-(kcal),Water-(g/ml),Carbs-(g),Sugar-(g),Fiber-(g),Protein-(g),Of Which NonEssential-(g),Fat-(g),Of which UnHealthy-(g),Cholesterol-(mg)
0,328,granulated Sugars,100,387,0.02,99.98,99.8,0.0,0.0,0.0,0.0,0.0,0.0
1,435,turbinado Sugar,100,399,0.03,99.8,99.19,0.0,0.0,0.0,0.0,0.0,0.0
2,407,powdered Sugars,100,389,0.23,99.77,97.81,0.0,0.0,0.0,0.0,0.0,0.0
3,4293,for baking contains sugar and sucralose Sweeteners,100,398,0.43,99.53,47.05,0.0,0.0,0.0,0.0,0.0,0.0
4,2326,powder Strawberry-flavor beverage mix,100,389,0.4,99.1,95.45,0.0,0.1,0.0,0.2,0.0,0.0
5,1494,rennin vanilla dry mix Desserts,100,383,0.4,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,5376,orange-flavor drink breakfast type powder Beverages,100,386,0.14,98.94,92.31,0.4,0.0,0.0,0.0,0.0,0.0
7,2228,gumdrops starch jelly pieces Candies,100,396,1.0,98.9,58.97,0.1,0.0,0.0,0.0,0.0,0.0
8,4671,hard dietetic or low calorie (sorbitol) Candies,100,394,1.4,98.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,4688,tea instant lemon sweetened powder Beverages,100,401,0.13,98.55,95.29,0.7,0.12,0.0,0.73,0.097,0.0
10,5052,tea instant decaffeinated lemon sweetened Beverages,100,401,0.13,98.55,95.29,0.0,0.12,0.0,0.73,0.091,0.0
11,534,brown Sugars,100,380,1.34,98.09,97.02,0.0,0.12,0.0,0.0,0.0,0.0
12,541,hard Candies,100,394,1.3,98.0,62.9,0.0,0.0,0.0,0.2,0.0,0.0
13,3313,lemonade-flavor drink powder Beverages,100,380,0.52,97.9,97.15,0.0,0.0,0.0,1.01,0.183,0.0
14,5088,tea instant lemon with added ascorbic acid Beverages,100,385,0.3,97.6,0.0,0.0,0.6,0.073,0.3,0.037,0.0
15,942,Lemonade powder Beverages,100,376,1.43,97.57,94.7,0.4,0.0,0.0,1.05,0.151,0.0
16,2688,Whiskey sour mix powder Beverages,100,383,0.6,97.3,97.3,0.0,0.6,0.0,0.1,0.019,0.0
17,6021,for baking brown contains sugar and sucralose Sweeteners,100,388,2.44,97.11,45.66,0.0,0.0,0.0,0.0,0.0,0.0
18,620,Chewing gum,100,360,2.6,96.7,66.08,2.4,0.0,0.0,0.3,0.042,0.0
19,1652,lemon dry mix instant Puddings,100,378,0.7,95.4,0.0,0.0,0.0,0.0,0.7,0.1,0.0
20,3407,Italian spaghetti with meat sauce Restaurant,100,121,73.16,16.4,1.82,1.6,5.79,3.727,3.59,1.071,9.0
21,3788,salsa con queso cheese and salsa- medium Dip,100,143,73.72,11.14,1.95,0.7,3.14,0.0,9.51,2.5,9.0
22,3260,MARS SNACKFOOD US MILKY WAY Bar Candies,100,456,6.3,71.17,59.69,1.0,4.01,0.0,17.23,12.025,9.0
23,4700,cereal mixed prepared with whole milk Babyfood,100,96,79.21,12.3,4.78,0.8,4.14,2.611,3.38,1.754,9.0
24,2954,KRAFT BREAKSTONE'S FREE Fat Free Sour Cream,100,91,77.7,15.1,7.2,0.0,4.7,0.0,1.3,0.809,9.0
25,2800,cheese flavor dry mix unprepared Rice mix,100,362,8.74,73.88,5.26,1.8,8.77,0.0,3.51,1.763,9.0
26,5816,vanilla dry mix regular prepared with whole milk Puddings,100,113,74.49,18.92,17.09,0.1,2.8,0.0,2.9,1.652,9.0
27,4429,CHIPS DELUXE Chocolate Malt Chunk Cookies KEEBLER,100,537,2.7,61.8,31.6,1.7,4.7,0.0,30.4,13.809000000000001,9.0
28,3196,frozen unprepared GARDENBURGER Original,100,155,61.9,22.1,0.6,5.0,7.2,0.0,4.6,2.409,9.0
29,3949,MARS SNACKFOOD US SNICKERS CRUNCHER Candies,100,488,4.47,62.85,46.54,1.9,6.86,0.0,24.38,12.712,9.0
30,5940,tomato bisque canned prepared with equal volume milk Soup,100,79,81.51,11.73,0.0,0.2,2.51,1.526,2.63,1.259,9.0
31,4436,spaghetti with meat sauce CARRABBA'S ITALIAN GRILL,100,122,73.32,15.71,1.96,1.5,5.87,3.537,3.92,1.109,9.0
32,5137,KRAFT MIRACLE WHIP FREE Nonfat Dressing Salad dressing,100,84,78.7,15.5,10.3,1.9,0.2,0.0,2.7,0.609,9.0
33,4318,chocolate syrup prepared with whole milk Beverages,100,90,80.51,12.78,11.31,0.3,3.07,1.632,2.96,1.69,9.0
34,5367,CHIPS DELUXE Original Chocolate Chip Cookies KEEBLER,100,517,2.8,62.7,30.1,2.9,5.5,0.0,28.3,11.109,9.0
35,5316,frozen unprepared KASHI Mushroom & Asparagus Risotto,100,116,74.6,17.0,1.3,2.6,4.3,0.0,3.7,1.9089999999999998,9.0
36,2874,Cream of Chicken Soup condensed CAMPBELL'S,100,103,82.45,6.03,0.33,4.1,1.76,0.0,7.98,2.1189999999999998,9.0
37,2220,milk chocolate coated peanuts Candies,100,519,1.9,49.7,37.59,4.7,13.1,0.0,33.5,14.609,9.0
38,3447,rye sandwich-type with cheese filling Crackers,100,481,3.8,60.8,0.0,3.6,9.2,6.173,22.3,5.996,9.0
39,5526,chocolate dry mix regular prepared with whole milk Puddings,100,120,73.13,19.64,11.96,0.8,3.16,0.0,3.15,1.819,9.0
40,8346,ABBOTT NUTRITION SIMILAC SPECIAL CARE ADVANCE 24 with iron ready-to-feed with ARA and DHA Infant formula,100,71,85.61,8.73,8.3,0.0,1.8,0.0,3.26,2.122,2.0
41,1000,KIT KAT Wafer Bar Candies,100,518,1.63,64.59,48.68,1.0,6.51,3.79,25.99,17.964,11.0
42,7546,ABBOTT NUTRITION SIMILAC NATURAL CARE ADVANCE ready-to-feed with ARA and DHA Infant formula,100,78,85.07,8.2,8.2,0.0,2.12,0.0,4.24,2.546,2.0
43,668,Eggnog,100,88,82.54,8.05,8.05,0.0,4.55,2.539,4.19,2.6500000000000004,59.0
44,4381,cheese sandwich-type with cheese filling Crackers,100,490,4.81,58.76,12.33,1.9,8.92,5.078,24.41,4.816,6.0
45,5558,MEAD JOHNSON ENFAMIL with iron ready-to-feed Infant formula,100,63,88.0,7.2,7.18,0.0,1.38,0.0,3.5,1.47,1.0
46,5669,MEAD JOHNSON ENFAMIL low iron ready-to-feed Infant formula,100,63,88.0,7.18,7.18,0.0,1.38,0.0,3.5,1.48,1.0
47,8035,MEAD JOHNSON ENFAMIL LIPIL low iron ready to feed with ARA and DHA Infant formula,100,64,88.35,7.18,7.18,0.0,1.38,0.0,3.5,1.454,1.0
48,5706,boxed uncooked Macaroni and cheese dinner with dry sauce mix,100,379,8.05,70.12,9.61,3.2,13.86,9.649,4.82,1.158,7.0
49,6424,ABBOTT NUTRITION SIMILAC with iron ready-to-feed Infant formula,100,65,87.79,6.92,6.9,0.0,1.36,0.0,3.55,1.239,2.0
50,6930,ABBOTT NUTRITION SIMILAC NEOSURE ready-to-feed with ARA and DHA Infant formula,100,69,87.0,6.94,6.9,0.0,1.92,0.0,3.77,2.449,2.0
51,7212,ABBOTT NUTRITION SIMILAC ADVANCE with iron ready-to-feed Infant formula,100,66,87.79,6.77,6.9,0.0,1.36,0.0,3.7,1.239,2.0
52,2195,McFLURRY with M&M'S CANDIES McDONALD'S,100,177,61.74,26.82,24.37,0.2,4.02,0.0,6.46,3.418,16.0
