,Id,name,serving_size,calories,total_fat,saturated_fat,cholesterol,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,water
4038,4038,"Oil, contains added sliced flaxseed, flaxseed",100 g,878,99g,9g,0,0.37 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39 g,0,0,0,0,0,0,0,0,99.01 g,9.047 g,20.634 g,64.876 g,0.00 mg,0.16 g
8271,8271,"Beef, braised, cooked, all grades, trimmed to 0"" fat, separable lean and fat, boneless, chuck eye Country-Style ribs",100 g,296,21g,9g,96mg,27.69 g,1.579 g,1.823 g,2.483 g,0.291 g,4.378 g,1.263 g,0.897 g,0.189 g,1.177 g,2.227 g,2.421 g,0.786 g,1.054 g,1.138 g,1.063 g,1.218 g,0.312 g,0.955 g,1.251 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,20.55 g,9.009 g,9.997 g,0.884 g,96.00 mg,51.91 g
2418,2418,"Oil, sunflower, mid-oleic, industrial",100 g,884,100g,9g,0,0.00 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,100.00 g,9.009 g,57.334 g,28.962 g,0.00 mg,0.00 g
7715,7715,"Beef, raw, choice, trimmed to 0"" fat, separable lean and fat, small end (ribs 10-12), eye, rib",100 g,274,22g,9g,68mg,17.51 g,1.056 g,1.107 g,1.600 g,0.196 g,2.631 g,0.955 g,0.600 g,0,0.787 g,1.384 g,1.457 g,0.448 g,0.684 g,0.773 g,0.670 g,0.765 g,0.196 g,0.588 g,0.852 g,0.00 g,0.0 g,0,0,0,0,0,0,0,22.07 g,9.000 g,9.580 g,0.770 g,68.00 mg,58.03 g
2924,2924,"KEEBLER, Chocolate Chip Cookies, SOFT BATCH",100 g,477,22g,9g,0,3.60 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.20 g,1.7 g,36.90 g,0,0,0,0,0,0,22.10 g,9.000 g,4.700 g,6.800 g,0.00 mg,6.00 g
2980,2980,"Candies, M&M MARS Pretzel Chocolate Candies",100 g,447,15g,9g,13mg,5.00 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.94 g,2.5 g,50.00 g,0,0,0,0,0,0,15.00 g,8.986 g,3.302 g,1.014 g,13.00 mg,4.84 g
691,691,"Oil, cold pressed, flaxseed",100 g,884,100g,9g,0,0.11 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,99.98 g,8.976 g,18.438 g,67.849 g,0.00 mg,0.12 g
6933,6933,"Beef, raw, select, trimmed to 1/8"" fat, separable lean and fat, flat half, brisket",100 g,276,22g,9g,94mg,17.77 g,1.080 g,1.149 g,1.618 g,0.229 g,2.667 g,1.082 g,0.567 g,0.187 g,0.808 g,1.413 g,1.502 g,0.463 g,0.702 g,0.847 g,0.700 g,0.710 g,0.117 g,0.566 g,0.881 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,22.21 g,8.963 g,9.511 g,0.845 g,94.00 mg,59.34 g
7379,7379,"Beef, raw, prime, trimmed to 1/8"" fat, separable lean and fat, tenderloin",100 g,274,22g,9g,70mg,18.15 g,1.095 g,1.147 g,1.658 g,0.203 g,2.727 g,0.990 g,0.622 g,0,0.816 g,1.435 g,1.510 g,0.465 g,0.709 g,0.802 g,0.694 g,0.793 g,0.203 g,0.610 g,0.883 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,21.83 g,8.960 g,9.260 g,0.870 g,70.00 mg,59.52 g
274,274,"Liver cheese, pork",100 g,304,26g,9g,174mg,15.20 g,0.930 g,0.828 g,1.350 g,0.328 g,1.834 g,0.935 g,0.393 g,0,0.631 g,1.331 g,1.178 g,0.342 g,0.716 g,0.716 g,0.690 g,0.651 g,0.206 g,0.466 g,0.806 g,2.10 g,0.0 g,0,0,0,0,0,0,0,25.60 g,8.960 g,12.260 g,3.420 g,174.00 mg,53.60 g
8044,8044,"Beef, raw, all grades, trimmed to 1/8"" fat, separable lean and fat, flat half, brisket",100 g,277,22g,9g,92mg,17.94 g,1.170 g,1.245 g,1.753 g,0.248 g,2.890 g,1.172 g,0.614 g,0.202 g,0.876 g,1.531 g,1.627 g,0.501 g,0.760 g,0.918 g,0.758 g,0.769 g,0.127 g,0.613 g,0.955 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,22.18 g,8.951 g,9.498 g,0.844 g,92.00 mg,59.07 g
2253,2253,"Fish oil, fully hydrogenated, menhaden",100 g,902,100g,96g,500mg,0.00 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00 g,0.0 g,0,0,0,0,0,0,0,100.00 g,95.600 g,0.000 g,0.000 g,500.00 mg,0.00 g
