,Id,name,serving_size,calories,total_fat,saturated_fat,cholesterol,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,water
8271,8271,"Beef, braised, cooked, all grades, trimmed to 0"" fat, separable lean and fat, boneless, chuck eye Country-Style ribs",100 g,296,21g,9g,96mg,27.69 g,1.579 g,1.823 g,2.483 g,0.291 g,4.378 g,1.263 g,0.897 g,0.189 g,1.177 g,2.227 g,2.421 g,0.786 g,1.054 g,1.138 g,1.063 g,1.218 g,0.312 g,0.955 g,1.251 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,20.55 g,9.009 g,9.997 g,0.884 g,96.00 mg,51.91 g
5599,5599,"Infant Formula, powder, Infant, Premium, ENFAMIL, MEAD JOHNSON",100 g,510,27g,11g,0,10.80 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.00 g,0.0 g,57.00 g,0,0,0,0,0,0,27.00 g,11.161 g,9.987 g,5.213 g,0.00 mg,2.40 g
6399,6399,"Infant Formula, powder, Infant, Premium LIPIL, ENFAMIL, MEAD JOHNSON",100 g,510,27g,11g,0,10.80 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.00 g,0.0 g,57.00 g,0,0,0,0,0,0,27.00 g,11.161 g,9.987 g,5.213 g,0.00 mg,2.40 g
3181,3181,"Fast Foods, with egg and sausage, biscuit",100 g,312,21g,6.4g,161mg,11.13 g,0.508 g,0.558 g,0.934 g,0.193 g,1.914 g,0.463 g,0.268 g,0,0.435 g,0.776 g,0.608 g,0.220 g,0.460 g,0.628 g,0.591 g,0.446 g,0.135 g,0.318 g,0.533 g,21.05 g,0.2 g,0.95 g,0.00 g,0.00 g,0.17 g,0.35 g,0.18 g,0.25 g,20.77 g,6.449 g,9.985 g,2.967 g,161.00 mg,44.48 g
831,831,"Candies, semisweet chocolate",100 g,480,30g,18g,0,4.20 g,0.196 g,0.240 g,0.422 g,0.052 g,0.637 g,0.190 g,0.073 g,0,0.164 g,0.257 g,0.212 g,0.044 g,0.204 g,0.181 g,0.183 g,0.168 g,0.063 g,0.159 g,0.254 g,63.90 g,5.9 g,54.50 g,0,0,0,0,0,0,30.00 g,17.750 g,9.966 g,0.966 g,0.00 mg,0.70 g
2041,2041,"Egg, pasteurized, frozen, raw, yolk",100 g,296,26g,8.6g,991mg,15.53 g,0.811 g,1.091 g,1.503 g,0.274 g,1.942 g,0.476 g,0.399 g,0,0.780 g,1.351 g,1.182 g,0.375 g,0.689 g,0.615 g,1.301 g,0.706 g,0.223 g,0.682 g,0.908 g,0.81 g,0.0 g,0.16 g,0.00 g,0.00 g,0.16 g,0.00 g,0.00 g,0.00 g,25.60 g,8.615 g,9.956 g,4.827 g,991.00 mg,56.44 g
8319,8319,"Beef, braised, cooked, choice, trimmed to 0"" fat, separable lean and fat, boneless, under blade pot roast, chuck",100 g,306,21g,8.5g,100mg,26.39 g,1.627 g,1.705 g,2.465 g,0.302 g,4.053 g,1.472 g,0.924 g,0.180 g,1.213 g,2.132 g,2.245 g,0.691 g,1.053 g,1.191 g,1.032 g,1.178 g,0.302 g,0.907 g,1.312 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,21.48 g,8.532 g,9.954 g,0.856 g,100.00 mg,51.93 g
6315,6315,"Cake, unenriched, other than all butter, commercially prepared, pound",100 g,389,18g,4.6g,58mg,5.20 g,0.216 g,0.247 g,0.367 g,0.111 g,1.194 g,0.170 g,0.115 g,0,0.244 g,0.403 g,0.283 g,0.125 g,0.259 g,0.402 g,0.323 g,0.196 g,0.069 g,0.184 g,0.276 g,52.50 g,1.0 g,0,0,0,0,0,0,0,17.90 g,4.647 g,9.935 g,2.251 g,58.00 mg,23.10 g
6499,6499,"Cake, enriched, other than all butter, commercially prepared, pound",100 g,389,18g,4.6g,58mg,5.20 g,0.216 g,0.247 g,0.367 g,0.111 g,1.194 g,0.170 g,0.115 g,0,0.244 g,0.403 g,0.283 g,0.125 g,0.259 g,0.402 g,0.323 g,0.196 g,0.069 g,0.184 g,0.276 g,52.50 g,1.0 g,0,0,0,0,0,0,0,17.90 g,4.647 g,9.935 g,2.251 g,58.00 mg,23.10 g
1870,1870,"Luncheon sausage, pork and beef",100 g,260,21g,7.6g,64mg,15.38 g,0.984 g,1.130 g,1.602 g,0.281 g,2.161 g,1.203 g,0.495 g,0,0.785 g,1.280 g,1.447 g,0.352 g,0.623 g,0.891 g,0.645 g,0.664 g,0.162 g,0.613 g,0.871 g,1.58 g,0.0 g,0,0,0,0,0,0,0,20.90 g,7.620 g,9.930 g,2.050 g,64.00 mg,58.62 g
