,Id,name,serving_size,calories,total_fat,saturated_fat,cholesterol,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,water
753,753,"Egg, scrambled, cooked, whole",100 g,149,11g,3.3g,277mg,9.99 g,0.566 g,0.623 g,1.034 g,0.205 g,1.378 g,0.335 g,0.245 g,0,0.532 g,0.861 g,0.705 g,0.297 g,0.535 g,0.453 g,0.742 g,0.442 g,0.139 g,0.402 g,0.676 g,1.61 g,0.0 g,1.39 g,0.00 g,0.00 g,0.28 g,1.11 g,0.00 g,0.00 g,10.98 g,3.331 g,4.441 g,2.429 g,277.00 mg,76.40 g
4261,4261,"Cereals ready-to-eat, plain, QUAKER OAT LIFE, QUAKER",100 g,374,4.4g,0.8g,0,9.98 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.74 g,6.6 g,19.43 g,0,0,0,0,0,0,4.43 g,0.830 g,1.480 g,1.420 g,0.00 mg,4.30 g
2279,2279,"Tofu, prepared with nigari, extra firm",100 g,83,5.3g,0.9g,0,9.98 g,0.447 g,0.790 g,1.176 g,0.033 g,1.899 g,0.423 g,0.249 g,0,0.490 g,0.804 g,0.510 g,0.122 g,0.482 g,0.626 g,0.586 g,0.453 g,0.135 g,0.405 g,0.503 g,1.18 g,1.0 g,0.71 g,0,0,0,0,0,0,5.26 g,0.919 g,1.318 g,2.657 g,0.00 mg,82.31 g
811,811,"Yogurt, lowfat, plain, Greek",100 g,73,1.9g,1.2g,10mg,9.95 g,0.225 g,0.158 g,0.416 g,0.048 g,1.028 g,0.127 g,0.130 g,0,0.286 g,0.529 g,0.471 g,0.155 g,0.286 g,0.622 g,0.325 g,0.216 g,0.030 g,0.265 g,0.434 g,3.94 g,0.0 g,3.56 g,0.00 g,0.64 g,0.00 g,2.92 g,0.00 g,0.00 g,1.92 g,1.230 g,0.486 g,0.076 g,10.00 mg,83.56 g
2449,2449,"Egg rolls, heated, refrigerated, pork",100 g,222,7.2g,1.6g,14mg,9.94 g,0.380 g,0.420 g,0.620 g,0.150 g,2.270 g,0.390 g,0.210 g,0,0.300 g,0.610 g,0.410 g,0.160 g,0.390 g,0.740 g,0.400 g,0.310 g,0.110 g,0.210 g,0.340 g,29.50 g,2.1 g,5.32 g,0.70 g,0.00 g,1.18 g,0.00 g,1.84 g,1.60 g,7.17 g,1.588 g,2.350 g,2.464 g,14.00 mg,51.33 g
4904,4904,"Cereals, dry, Country Bacon flavor, Instant Grits, QUAKER",100 g,340,1.7g,0.2g,0,9.93 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.39 g,5.1 g,0.38 g,0,0,0,0,0,0,1.73 g,0.240 g,0.400 g,0.870 g,0.00 mg,7.37 g
2535,2535,"Veal, raw, separable fat, Australian",100 g,509,52g,24g,66mg,9.91 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00 g,0.0 g,0.00 g,0.00 g,0.00 g,0.00 g,0.00 g,0.00 g,0.00 g,52.17 g,23.564 g,20.777 g,1.652 g,66.00 mg,38.10 g
181,181,"Barley, raw, pearled",100 g,352,1.2g,0.2g,0,9.91 g,0.386 g,0.496 g,0.619 g,0.219 g,2.588 g,0.359 g,0.223 g,0,0.362 g,0.673 g,0.369 g,0.190 g,0.556 g,1.178 g,0.418 g,0.337 g,0.165 g,0.284 g,0.486 g,77.72 g,15.6 g,0.80 g,0,0,0,0,0,0,1.16 g,0.244 g,0.149 g,0.560 g,0.00 mg,10.09 g
5003,5003,"English muffins, toasted (includes granola), mixed-grain",100 g,255,1.9g,0.3g,0,9.90 g,0.384 g,0.479 g,0.597 g,0.216 g,2.903 g,0.400 g,0.220 g,0,0.393 g,0.706 g,0.317 g,0.171 g,0.488 g,0.924 g,0.472 g,0.303 g,0.128 g,0.305 g,0.458 g,50.30 g,3.0 g,0.88 g,0,0,0,0,0,0,1.90 g,0.250 g,0.899 g,0.608 g,0.00 mg,35.00 g
726,726,"Rolls, hard (includes kaiser)",100 g,293,4.3g,0.6g,0,9.90 g,0.331 g,0.360 g,0.449 g,0.216 g,3.314 g,0.350 g,0.214 g,0,0.383 g,0.693 g,0.242 g,0.176 g,0.489 g,1.105 g,0.480 g,0.285 g,0.117 g,0.284 g,0.432 g,52.70 g,2.3 g,1.77 g,0,0,0,0,0,0,4.30 g,0.606 g,1.133 g,1.719 g,0.00 mg,31.00 g
