,Id,name,serving_size,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,hydroxyproline,proline,serine,tyrosine
1618,1618,"Gelatins, unsweetened, dry powder",100 g,85.60 g,8.009 g,6.616 g,5.265 g,0.000 g,8.753 g,19.049 g,0,12.295 g,2.605 g,0.303 g
1087,1087,"Snacks, plain, pork skins",100 g,61.30 g,5.811 g,4.841 g,4.469 g,0.529 g,7.625 g,11.917 g,0,7.262 g,2.597 g,1.205 g
7259,7259,"Gelatin desserts, no added sodium, with aspartame, reduced calorie, dry mix",100 g,55.30 g,5.790 g,4.784 g,3.807 g,0.000 g,6.328 g,13.773 g,0,8.890 g,1.884 g,0.219 g
8491,8491,"Gelatin desserts, vitamin C, sodium, potassium, added phosphorus, with aspartame, reduced calorie, dry mix",100 g,55.30 g,5.790 g,4.784 g,3.807 g,0.000 g,6.328 g,13.773 g,0,8.890 g,1.884 g,0.219 g
2713,2713,"Snacks, barbecue-flavor, pork skins",100 g,57.90 g,5.472 g,4.547 g,4.295 g,0.514 g,7.302 g,11.036 g,0,6.769 g,2.484 g,1.186 g
5357,5357,"Egg, glucose reduced, stabilized, powder, dried, white",100 g,82.40 g,5.313 g,4.812 g,7.291 g,2.044 g,11.496 g,3.085 g,0,3.098 g,6.078 g,3.309 g
3893,3893,"Egg, glucose reduced, stabilized, dried, white",100 g,84.08 g,5.126 g,4.888 g,9.139 g,2.212 g,11.656 g,3.047 g,0,3.238 g,6.159 g,3.414 g
5356,5356,"Egg, glucose reduced, stabilized, flakes, dried, white",100 g,76.92 g,4.960 g,4.492 g,6.806 g,1.908 g,10.732 g,2.880 g,0,2.892 g,5.674 g,3.089 g
4401,4401,"Seal, dried (Alaska Native), meat, bearded (Oogruk)",100 g,82.60 g,4.725 g,4.655 g,6.877 g,0.444 g,11.041 g,4.351 g,0,3.789 g,2.994 g,2.152 g
389,389,"Egg, dried, white",100 g,81.10 g,4.684 g,4.412 g,8.253 g,2.102 g,10.770 g,2.842 g,0,3.153 g,5.593 g,3.153 g
1112,1112,"Seaweed, dried, spirulina",100 g,57.47 g,4.515 g,4.147 g,5.793 g,0.662 g,8.386 g,3.099 g,0,2.382 g,2.998 g,2.584 g
3089,3089,"Whale, dried (Alaska Native), meat, beluga",100 g,69.86 g,4.268 g,3.838 g,5.841 g,0.419 g,9.595 g,4.079 g,0,3.481 g,2.422 g,1.887 g
2370,2370,"Fish, dried and salted, Atlantic, cod",100 g,62.82 g,3.799 g,3.759 g,6.433 g,0.673 g,9.378 g,3.015 g,0,2.221 g,2.563 g,2.121 g
2267,2267,"Fish, dried (Alaska Native), whitefish",100 g,62.44 g,3.780 g,3.610 g,5.670 g,0.500 g,8.100 g,4.370 g,0,2.980 g,2.340 g,1.740 g
213,213,Soy protein isolate,100 g,88.32 g,3.589 g,6.670 g,10.203 g,1.046 g,17.452 g,3.603 g,0,4.960 g,4.593 g,3.222 g
1378,1378,"Soy protein isolate, potassium type",100 g,88.32 g,3.589 g,6.670 g,10.203 g,1.046 g,17.452 g,3.603 g,0,4.960 g,4.593 g,3.222 g
5806,5806,"Seal, partially dried (Alaska Native), meat, bearded (Oogruk)",100 g,62.38 g,3.568 g,3.515 g,5.193 g,0.336 g,8.337 g,3.285 g,0,2.862 g,2.261 g,1.625 g
694,694,"Smelt, dried (Alaska Native)",100 g,56.19 g,3.520 g,3.100 g,4.810 g,0.460 g,6.660 g,3.280 g,0,2.360 g,2.450 g,1.570 g
3567,3567,"Mollusks, moist heat, cooked, unspecified, whelk",100 g,47.68 g,3.113 g,4.936 g,5.127 g,0.374 g,7.339 g,2.991 g,0,2.365 g,2.220 g,1.518 g
3859,3859,"Egg, glucose reduced, stabilized, dried, whole",100 g,48.17 g,2.813 g,3.083 g,4.778 g,1.148 g,6.135 g,1.603 g,0,1.911 g,3.661 g,2.004 g
