,Id,name,serving_size,calories,total_fat,saturated_fat,cholesterol,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,water
8346,8346,"Infant formula, with ARA and DHA, ready-to-feed, with iron, ADVANCE 24, SPECIAL CARE, SIMILAC, ABBOTT NUTRITION",100 g,71,3.3g,2.1g,2mg,1.80 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.73 g,0.0 g,8.30 g,0,0,0,8.30 g,0,0,3.26 g,2.120 g,0.324 g,0.737 g,2.00 mg,85.61 g
1000,1000,"Candies, KIT KAT Wafer Bar",100 g,518,26g,18g,11mg,6.51 g,0.200 g,0.200 g,0.470 g,0.120 g,1.520 g,0.160 g,0.110 g,0.000 g,0.280 g,0.520 g,0.280 g,0.160 g,0.270 g,0.650 g,0.320 g,0.190 g,0.090 g,0.150 g,0.360 g,64.59 g,1.0 g,48.68 g,0.20 g,0.00 g,0.16 g,8.21 g,0.07 g,40.04 g,25.99 g,17.953 g,5.844 g,0.895 g,11.00 mg,1.63 g
7546,7546,"Infant formula, with ARA and DHA, ready-to-feed, ADVANCE, NATURAL CARE, SIMILAC, ABBOTT NUTRITION",100 g,78,4.2g,2.5g,2mg,2.12 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.20 g,0.0 g,8.20 g,0,0,0,8.20 g,0,0,4.24 g,2.544 g,0.402 g,0.842 g,2.00 mg,85.07 g
668,668,Eggnog,100 g,88,4.2g,2.6g,59mg,4.55 g,0.199 g,0.191 g,0.400 g,0.057 g,0.775 g,0.128 g,0.108 g,0,0.237 g,0.383 g,0.257 g,0.120 g,0.225 g,0.349 g,0.241 g,0.201 g,0.085 g,0.199 g,0.289 g,8.05 g,0.0 g,8.05 g,0.04 g,0.04 g,0.07 g,7.84 g,0.04 g,0.04 g,4.19 g,2.591 g,1.302 g,0.198 g,59.00 mg,82.54 g
4381,4381,"Crackers, sandwich-type with cheese filling, cheese",100 g,490,24g,4.8g,6mg,8.92 g,0.298 g,0.292 g,0.518 g,0.155 g,2.161 g,0.236 g,0.175 g,0,0.357 g,0.638 g,0.386 g,0.151 g,0.350 g,0.768 g,0.401 g,0.330 g,0.110 g,0.249 g,0.381 g,58.76 g,1.9 g,12.33 g,0.00 g,0.00 g,0.00 g,7.74 g,1.49 g,3.09 g,24.41 g,4.810 g,14.307 g,2.327 g,6.00 mg,4.81 g
5558,5558,"Infant formula, ready-to-feed, with iron, ENFAMIL, MEAD JOHNSON",100 g,63,3.5g,1.5g,1mg,1.38 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.20 g,0.0 g,7.18 g,0,0,0,7.18 g,0,0,3.50 g,1.469 g,1.330 g,0.670 g,1.00 mg,88.00 g
5669,5669,"Infant formula, ready-to-feed, low iron, ENFAMIL, MEAD JOHNSON",100 g,63,3.5g,1.5g,1mg,1.38 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.18 g,0.0 g,7.18 g,0,0,0,7.18 g,0,0,3.50 g,1.479 g,1.291 g,0.689 g,1.00 mg,88.00 g
8035,8035,"Infant formula, with ARA and DHA, ready to feed, low iron, LIPIL, ENFAMIL, MEAD JOHNSON",100 g,64,3.5g,1.5g,1mg,1.38 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.18 g,0.0 g,7.18 g,0,0,0,7.18 g,0,0,3.50 g,1.453 g,1.255 g,0.670 g,1.00 mg,88.35 g
5706,5706,"Macaroni and cheese dinner with dry sauce mix, uncooked, boxed",100 g,379,4.8g,1.2g,7mg,13.86 g,0.472 g,0.504 g,0.760 g,0.179 g,4.554 g,0.444 g,0.327 g,0.000 g,0.581 g,1.082 g,0.405 g,0.167 g,0.692 g,1.785 g,0.728 g,0.492 g,0.221 g,0.223 g,0.639 g,70.12 g,3.2 g,9.61 g,0.00 g,0.00 g,0.00 g,6.90 g,2.39 g,0.32 g,4.82 g,1.151 g,0.665 g,0.813 g,7.00 mg,8.05 g
6424,6424,"Infant formula, ready-to-feed, with iron, SIMILAC, ABBOTT NUTRITION",100 g,65,3.6g,1.2g,2mg,1.36 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.92 g,0.0 g,6.90 g,0,0,0,6.90 g,0,0,3.55 g,1.237 g,1.314 g,0.801 g,2.00 mg,87.79 g
6930,6930,"Infant formula, with ARA and DHA, ready-to-feed, SIMILAC NEOSURE, ABBOTT NUTRITION",100 g,69,3.8g,2.4g,2mg,1.92 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.94 g,0.0 g,6.90 g,0,0,0,6.90 g,0,0,3.77 g,2.447 g,0.387 g,0.844 g,2.00 mg,87.00 g
7212,7212,"Infant formula, ready-to-feed, with iron, ADVANCE, SIMILAC, ABBOTT NUTRITION",100 g,66,3.7g,1.2g,2mg,1.36 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.77 g,0.0 g,6.90 g,0,0,0,6.90 g,0,0,3.70 g,1.237 g,1.314 g,0.801 g,2.00 mg,87.79 g
2195,2195,"McDONALD'S, McFLURRY with M&M'S CANDIES",100 g,177,6.5g,3.4g,16mg,4.02 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.82 g,0.2 g,24.37 g,0.21 g,0.00 g,0.75 g,6.23 g,0.28 g,16.90 g,6.46 g,3.402 g,1.670 g,0.282 g,16.00 mg,61.74 g
5458,5458,"Light Ice Cream, blended with milk chocolate candies, soft serve",100 g,182,6.5g,3.6g,16mg,4.02 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.82 g,0.2 g,24.37 g,0.21 g,0.00 g,0.75 g,6.23 g,0.28 g,16.90 g,6.46 g,3.633 g,1.670 g,0.282 g,16.00 mg,61.74 g
6608,6608,"Cheese product, vitamin D fortified, American, pasteurized process",100 g,312,23g,13g,78mg,17.12 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.80 g,0.0 g,6.19 g,0.00 g,0.14 g,0.00 g,6.05 g,0.00 g,0.00 g,23.11 g,13.341 g,6.243 g,1.005 g,78.00 mg,44.22 g
5092,5092,"Infant formula, powder, with iron, ENFAMIL, MEAD JOHNSON",100 g,520,27g,12g,17mg,10.80 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.20 g,0.0 g,56.00 g,0,0,0,56.00 g,0,0,27.00 g,11.500 g,10.300 g,5.200 g,17.00 mg,3.30 g
6964,6964,"Infant formula, with ARA and DHA, powder, with iron, LIPIL, ENFAMIL, MEAD JOHNSON",100 g,511,27g,11g,17mg,10.80 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.20 g,0.0 g,56.00 g,0,0,0,56.00 g,0,0,27.00 g,11.221 g,9.899 g,5.240 g,17.00 mg,3.30 g
7325,7325,"Infant formula, not reconstituted, powder, low iron, ENFAMIL, MEAD JOHNSON",100 g,511,27g,12g,17mg,10.80 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.20 g,0.0 g,56.00 g,0,0,0,56.00 g,0,0,27.00 g,11.500 g,10.000 g,5.300 g,17.00 mg,3.30 g
7041,7041,"Infant formula, not reconstituted, powder, with iron, SIMILAC, ABBOTT NUTRITION",100 g,522,29g,9.9g,14mg,10.89 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.73 g,0.0 g,54.73 g,0,0,0,55.53 g,0,0,28.87 g,9.873 g,10.491 g,6.396 g,14.00 mg,2.25 g
7954,7954,"Infant formula, not reconstituted, powder, with iron, ADVANCE, SIMILAC, ABBOTT NUTRITION",100 g,522,29g,9.9g,14mg,10.89 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.73 g,0.0 g,54.73 g,0,0,0,55.53 g,0,0,28.87 g,9.873 g,10.491 g,6.396 g,14.00 mg,2.25 g
