,Id,name,serving_size,calories,total_fat,saturated_fat,cholesterol,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,water
3089,3089,"Whale, dried (Alaska Native), meat, beluga",100 g,327,5.3g,1.2g,122mg,69.86 g,4.268 g,3.838 g,5.841 g,0.419 g,9.595 g,4.079 g,2.999 g,0,2.684 g,5.778 g,6.313 g,1.353 g,2.947 g,3.481 g,2.422 g,2.726 g,0.797 g,1.887 g,2.810 g,0.00 g,0.0 g,0.00 g,0.00 g,0.00 g,0.00 g,0.00 g,0.00 g,0.00 g,5.34 g,1.204 g,3.345 g,0.319 g,122.00 mg,22.39 g
4401,4401,"Seal, dried (Alaska Native), meat, bearded (Oogruk)",100 g,351,2.3g,0.6g,0,82.60 g,4.725 g,4.655 g,6.877 g,0.444 g,11.041 g,4.351 g,2.947 g,0,3.134 g,6.386 g,6.690 g,1.684 g,3.275 g,3.789 g,2.994 g,3.228 g,0.795 g,2.152 g,3.228 g,0.00 g,0.0 g,0.00 g,0.00 g,0.00 g,0.00 g,0.00 g,0.00 g,0.00 g,2.30 g,0.600 g,1.330 g,0.370 g,0,11.60 g
213,213,Soy protein isolate,100 g,335,3.4g,0.4g,0,88.32 g,3.589 g,6.670 g,10.203 g,1.046 g,17.452 g,3.603 g,2.303 g,0,4.253 g,6.783 g,5.327 g,1.130 g,4.593 g,4.960 g,4.593 g,3.137 g,1.116 g,3.222 g,4.098 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,3.39 g,0.422 g,0.645 g,1.648 g,0.00 mg,4.98 g
1378,1378,"Soy protein isolate, potassium type",100 g,321,0.5g,0.1g,0,88.32 g,3.589 g,6.670 g,10.203 g,1.046 g,17.452 g,3.603 g,2.303 g,0,4.253 g,6.783 g,5.327 g,1.130 g,4.593 g,4.960 g,4.593 g,3.137 g,1.116 g,3.222 g,4.098 g,2.59 g,0.0 g,0.00 g,0,0,0,0,0,0,0.53 g,0.077 g,0.117 g,0.299 g,0.00 mg,4.98 g
5806,5806,"Seal, partially dried (Alaska Native), meat, bearded (Oogruk)",100 g,270,2.3g,0g,0,62.38 g,3.568 g,3.515 g,5.193 g,0.336 g,8.337 g,3.285 g,2.226 g,0,2.367 g,4.822 g,5.052 g,1.272 g,2.473 g,2.862 g,2.261 g,2.438 g,0.601 g,1.625 g,2.438 g,0.00 g,0,0.00 g,0.00 g,0.00 g,0.00 g,0.00 g,0.00 g,0.00 g,2.31 g,0,0,0,0,34.92 g
3893,3893,"Egg, glucose reduced, stabilized, dried, white",100 g,357,0.3g,0.1g,0,84.08 g,5.126 g,4.888 g,9.139 g,2.212 g,11.656 g,3.047 g,2.050 g,0,4.411 g,7.358 g,5.901 g,2.991 g,5.129 g,3.238 g,6.159 g,3.629 g,1.427 g,3.414 g,5.725 g,4.51 g,0.0 g,0.00 g,0.00 g,0.00 g,0.00 g,0.00 g,0.00 g,0.00 g,0.32 g,0.118 g,0.125 g,0.045 g,0.00 mg,5.48 g
5357,5357,"Egg, glucose reduced, stabilized, powder, dried, white",100 g,376,0g,0g,0,82.40 g,5.313 g,4.812 g,7.291 g,2.044 g,11.496 g,3.085 g,1.872 g,0,5.023 g,7.172 g,5.076 g,3.204 g,5.181 g,3.098 g,6.078 g,3.665 g,1.266 g,3.309 g,6.170 g,4.47 g,0.0 g,0.00 g,0,0,0,0,0,0,0.04 g,0.000 g,0.000 g,0.000 g,0.00 mg,8.54 g
2370,2370,"Fish, dried and salted, Atlantic, cod",100 g,290,2.4g,0.5g,152mg,62.82 g,3.799 g,3.759 g,6.433 g,0.673 g,9.378 g,3.015 g,1.849 g,0,2.895 g,5.106 g,5.769 g,1.859 g,2.452 g,2.221 g,2.563 g,2.754 g,0.704 g,2.121 g,3.236 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,2.37 g,0.462 g,0.342 g,0.804 g,152.00 mg,16.14 g
389,389,"Egg, dried, white",100 g,382,0g,0g,0,81.10 g,4.684 g,4.412 g,8.253 g,2.102 g,10.770 g,2.842 g,1.830 g,0,4.581 g,6.838 g,5.515 g,2.790 g,4.736 g,3.153 g,5.593 g,3.685 g,0.999 g,3.153 g,5.164 g,7.80 g,0.0 g,5.40 g,0,0,0,0,0,0,0.00 g,0.000 g,0.000 g,0.000 g,0.00 mg,5.80 g
5356,5356,"Egg, glucose reduced, stabilized, flakes, dried, white",100 g,351,0g,0g,0,76.92 g,4.960 g,4.492 g,6.806 g,1.908 g,10.732 g,2.880 g,1.748 g,0,4.689 g,6.695 g,4.738 g,2.991 g,4.837 g,2.892 g,5.674 g,3.421 g,1.181 g,3.089 g,5.760 g,4.17 g,0.0 g,0.00 g,0,0,0,0,0,0,0.04 g,0.000 g,0.000 g,0.000 g,0.00 mg,14.62 g
