,Id,name,serving_size,calories,total_fat,saturated_fat,cholesterol,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,water
5157,5157,"Snacks, KELLOGG'S RICE KRISPIES TREATS Squares, KELLOGG",100 g,414,9g,1.4g,0,3.40 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.50 g,0.0 g,19.36 g,0,0,0,0,0,0,9.00 g,1.400 g,2.500 g,5.100 g,0.00 mg,5.90 g
7028,7028,"Toaster Pastries, frosted (include apples, blueberry, cherry, strawberry), fruit",100 g,385,9g,3.1g,0,4.01 g,0.123 g,0.128 g,0.294 g,0.095 g,1.425 g,0.152 g,0.066 g,0.000 g,0.133 g,0.275 g,0.143 g,0.071 g,0.166 g,0.323 g,0.228 g,0.100 g,0.066 g,0.090 g,0.152 g,71.83 g,1.8 g,31.00 g,3.88 g,0.00 g,14.90 g,0.26 g,3.07 g,8.88 g,9.02 g,3.091 g,2.186 g,3.360 g,0.00 mg,14.04 g
2438,2438,"Restaurant, hash browns, family style",100 g,197,9g,1.7g,0,2.49 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.59 g,2.7 g,1.38 g,0.51 g,0.00 g,0.58 g,0.00 g,0.00 g,0.30 g,8.99 g,1.689 g,2.035 g,5.029 g,0,59.85 g
4279,4279,"DOMINO'S 14"" Cheese Pizza, Classic Hand-Tossed Crust",100 g,257,9g,4.1g,17mg,10.80 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.24 g,2.2 g,4.02 g,1.07 g,0.12 g,1.00 g,0.50 g,0.93 g,0.40 g,8.97 g,4.110 g,2.165 g,1.833 g,17.00 mg,44.87 g
7541,7541,"Beef, braised, cooked, choice, trimmed to 0"" fat, separable lean only, steak, bottom round, round",100 g,223,9g,3.2g,95mg,33.08 g,2.011 g,2.139 g,3.013 g,0.427 g,4.966 g,2.014 g,1.056 g,0.348 g,1.505 g,2.631 g,2.796 g,0.861 g,1.307 g,1.577 g,1.303 g,1.321 g,0.217 g,1.054 g,1.641 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,9.03 g,3.152 g,3.807 g,0.337 g,95.00 mg,57.36 g
6728,6728,"Chicken, roasted, cooked, meat and skin, leg, broilers or fryers",100 g,184,9g,2.4g,127mg,24.03 g,1.441 g,1.657 g,2.331 g,0.287 g,3.868 g,1.198 g,0.712 g,0,1.149 g,2.000 g,2.215 g,0.678 g,0.955 g,1.012 g,0.984 g,1.114 g,0.270 g,0.881 g,1.166 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,8.99 g,2.446 g,3.564 g,1.855 g,127.00 mg,66.74 g
6881,6881,"Pork, raw, separable lean and fat, bone-in, sirloin (chops or roasts), loin, fresh",100 g,168,9g,1.9g,70mg,20.48 g,1.202 g,1.363 g,2.003 g,0.236 g,3.269 g,0.923 g,0.885 g,0.053 g,1.008 g,1.745 g,1.899 g,0.564 g,0.861 g,0.828 g,0.885 g,0.919 g,0.216 g,0.779 g,1.070 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,8.96 g,1.851 g,2.157 g,0.754 g,70.00 mg,70.29 g
2249,2249,"Veal, raw, separable lean and fat, rib",100 g,162,9g,3.7g,82mg,18.86 g,1.121 g,1.109 g,1.627 g,0.213 g,2.983 g,0.969 g,0.684 g,0,0.929 g,1.501 g,1.554 g,0.440 g,0.761 g,0.787 g,0.707 g,0.824 g,0.191 g,0.601 g,1.042 g,0.00 g,0.0 g,0,0,0,0,0,0,0,9.01 g,3.710 g,3.430 g,0.630 g,82.00 mg,71.15 g
1934,1934,Vegetarian meatloaf or patties,100 g,197,9g,1.4g,0,21.00 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.00 g,4.6 g,1.20 g,0,0,0,0,0,0,9.00 g,1.425 g,2.188 g,4.666 g,0.00 mg,58.00 g
4758,4758,"Soybeans, with salt, boiled, cooked, mature seeds",100 g,172,9g,1.3g,0,18.21 g,0.784 g,1.291 g,2.093 g,0.268 g,3.224 g,0.770 g,0.449 g,0,0.807 g,1.355 g,1.108 g,0.224 g,0.869 g,0.974 g,0.965 g,0.723 g,0.242 g,0.630 g,0.831 g,8.36 g,6.0 g,2.36 g,0,0,0,0,0,0,8.97 g,1.297 g,1.981 g,5.064 g,0.00 mg,62.55 g
